"","fullname","y1939","y1940","y1941","y1942","y1943","y1944","y1945"
"344","Olejnik Robert",0,4,33,0,5,0,0
"345","Oschenkuhn Anton",0,7,0,0,0,0,0
"346","Oseau Walter ""Gulle""",0,40,61,3,1,8,0
"347","Ostermann Max-Hellmuth",0,8,37,116,0,0,0
"348","Pausinger Paul",0,7,5,6,11,0,0
"349","Petermann Werner",0,6,0,0,0,0,0
"350","Pfeiffer Karl",0,5,8,12,8,1,0
"351","Pflanz Rudolf (Rudi)",0,5,18,58,0,0,0
"352","Philipp Wilhelm",0,10,2,12,38,14,0
"353","Pöhs Josef (Joschi)",0,7,36,0,0,0,0
"354","Priller Josef (Pips)",0,21,38,25,14,6,0
"355","Rall Gunther",0,1,0,62,151,23,0
"356","Rau Helmut",0,7,0,0,0,0,0
"357","Rauch Alfred",0,1,4,12,9,0,0
"358","Redlich Wolfgang",0,10,24,0,0,1,0
"359","Reibel Ludwig",0,2,2,23,0,0,0
"360","Repple Walter",0,7,0,5,4,0,0
"361","Reumschussel Helmut",0,9,0,0,0,0,0
"362","Richey Erwin",0,6,3,0,0,0,0
"363","Richter Hans",0,6,4,0,0,0,0
"364","Roch Eckardt",0,8,0,0,0,0,0
"365","Roders Carl-Hans",0,6,2,0,0,0,0
"366","Rohwer Detlev",0,4,24,0,4,3,0
"367","Rossiwall Theodor",0,4,1,0,1,0,0
"368","Rossmann Edmund",0,3,0,35,11,0,0
"369","Roth Jurgen",0,10,0,0,0,0,0
"370","Roth Willi",0,5,4,5,4,0,0
"371","Roth Willy",0,6,0,0,0,0,0
"372","Rudorffer Erich",0,18,22,7,68,57,12
"373","Ruppert Kurt",0,6,5,9,4,0,0
"374","Ruttger Karl",0,5,0,1,0,0,0
"375","Rysavy Martin",0,2,5,0,0,0,0
"376","Saborowski Rudolf",0,7,0,36,0,0,0
"377","Sannemann Heinrich",0,3,0,0,0,3,0
"378","Sauerwein Heinrich",0,6,1,0,0,0,0
"379","Schacht Arthur",0,2,4,0,0,0,0
"380","Schafer Hans-Christian",0,4,2,0,0,0,0
"381","Schalk Johann",0,9,0,0,0,0,0
"382","Schatzel Hans",0,12,0,0,0,0,0
"383","Schellmann Wolfgang",0,11,2,0,0,0,0
"384","Schentke Georg",0,4,1,58,0,0,0
"385","Scherer Walter",0,10,0,0,0,0,0
"386","Schilling Wilhelm",0,5,13,27,0,1,0
"387","Schindler Adalbert",0,3,0,12,2,0,0
"388","Schlichting Joachim",0,8,0,0,0,0,0
"389","Schlitzer Gottfried",0,6,3,3,0,0,0
"390","Schlotheim Ernst-Hartmann von",0,9,0,0,0,0,0
"391","Schmale Wilhelm",0,2,1,0,8,0,0
"392","Schmetzer Reinhold",0,4,3,5,2,0,0
"393","Schmid Johann",0,9,36,0,0,0,0
